
  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  10.9.2026, 00:04:57       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/2
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

00:04:57  BOOT       › Dashboard-Webserver gestartet (Port 7777).
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

01:01:20  BOOT       › Dashboard-Webserver gestartet (Port 7777).
01:01:31  200 ✓ GET  /api/maintenance  · 9 ms
01:01:31  200 ✓ GET  /api/commands  · 1 ms
01:01:32  200 ✓ GET  /api/siteinfo  · 3 ms
01:01:32  200 ✓ GET  /api/statistics  · 4 ms
01:01:41  401 ✕ GET  /api/health  · 1 ms
01:01:46  401 ✕ GET  /api/health  · 1 ms
01:01:49  200 ✓ GET  /api/heartbeat  · 1 ms
01:02:10  403 ✕ GET  /api/health  · 2 ms
01:02:12  403 ✕ GET  /api/health  · 2 ms
01:02:22  403 ✕ GET  /api/health  · 2 ms
01:02:48  403 ✕ GET  /api/health  · 2 ms
01:03:44  403 ✕ GET  /api/health  · 2 ms
01:06:22  403 ✕ GET  /api/health  · 2 ms
01:06:22  403 ✕ GET  /api/health  · 2 ms
07:56:39  200 ✓ GET  /api/maintenance  · 2 ms
07:56:41  200 ✓ GET  /api/commands  · 2 ms
07:56:43  200 ✓ GET  /api/siteinfo  · 3 ms
07:56:43  200 ✓ GET  /api/statistics  · 4 ms
08:53:27  401 ✕ POST /api/graphql  · 1 ms
08:53:28  401 ✕ POST /api/gql  · 1 ms
10:46:40  200 ✓ GET  /api/maintenance  · 2 ms
10:46:40  200 ✓ GET  /api/commands  · 2 ms
10:46:41  200 ✓ GET  /api/siteinfo  · 3 ms
10:46:41  200 ✓ GET  /api/statistics  · 6 ms
10:46:52  200 ✓ GET  /api/maintenance  · 2 ms
10:46:52  200 ✓ GET  /api/statistics  · 5 ms
10:46:52  200 ✓ GET  /api/siteinfo  · 3 ms
10:46:59  200 ✓ GET  /api/maintenance  · 2 ms
10:46:59  200 ✓ GET  /api/leaderboard  · 18 ms
10:46:59  200 ✓ GET  /api/commands  · 1 ms
10:46:59  200 ✓ GET  /api/siteinfo  · 3 ms
10:46:59  200 ✓ GET  /api/statistics  · 6 ms
10:47:13  200 ✓ GET  /api/maintenance  · 2 ms
10:47:14  200 ✓ GET  /api/sessions  · 5 ms
10:47:14  200 ✓ GET  /api/siteinfo  · 5 ms
10:47:14  200 ✓ GET  /api/maintenance  · 1 ms
10:47:14  200 ✓ GET  /api/leaderboard  · 10 ms
10:47:14  200 ✓ GET  /api/commands
10:47:15  200 ✓ GET  /api/siteinfo  · 4 ms
10:47:15  200 ✓ GET  /api/statistics  · 6 ms
10:47:15  200 ✓ GET  /api/maintenance  · 2 ms
10:47:16  200 ✓ GET  /api/statistics  · 6 ms
10:47:16  200 ✓ GET  /api/siteinfo  · 4 ms
10:47:16  200 ✓ GET  /api/maintenance  · 1 ms
10:47:16  200 ✓ GET  /api/siteinfo  · 4 ms
10:47:17  200 ✓ GET  /api/maintenance  · 2 ms
10:47:17  200 ✓ GET  /api/leaderboard  · 11 ms
10:47:17  200 ✓ GET  /api/commands  · 1 ms
10:47:17  200 ✓ GET  /api/siteinfo  · 4 ms
10:47:18  200 ✓ GET  /api/statistics  · 7 ms
10:49:10  200 ✓ GET  /api/maintenance  · 1 ms
10:49:11  200 ✓ GET  /api/siteinfo  · 4 ms
10:49:15  200 ✓ GET  /api/maintenance  · 1 ms
10:49:16  200 ✓ GET  /api/commands  · 2 ms
10:49:16  200 ✓ GET  /api/siteinfo  · 3 ms
10:49:17  200 ✓ GET  /api/maintenance  · 1 ms
10:49:17  200 ✓ GET  /api/siteinfo  · 3 ms
10:49:22  200 ✓ GET  /api/heartbeat  · 1 ms
10:49:27  200 ✓ POST /api/check-number  · 2 ms
10:49:31  AUDIT      › 49•••••••4714 › login.owner_no2fa · web → success
10:49:31  AUTH_OWNER_LOGIN_NO2FA     185.47.235.132           risk 5
10:49:31  200 ✓ POST /api/login  · 20 ms
10:49:32  200 ✓ GET  /api/maintenance  · 1 ms
10:49:32  200 ✓ GET  /api/heartbeat  · 2 ms
10:49:32  200 ✓ GET  /api/me  · 6 ms
10:49:32  200 ✓ GET  /api/me  · 4 ms
10:49:32  200 ✓ GET  /api/stats  · 8 ms
10:49:32  200 ✓ GET  /api/logs  · 5 ms
10:49:32  200 ✓ GET  /api/sessions  · 6 ms
10:49:34  401 ✕ GET  /api/sessions/all  · 3 ms
10:49:40  200 ✓ GET  /api/heartbeat  · 1 ms
10:49:41  STEP_UP_REAUTH_OK          910maxi                  risk 5
10:49:41  ADMIN      › 910maxi › reauth.ok · reauth.verify
10:49:41  200 ✓ POST /api/reauth/verify  · 7 ms
10:49:41  200 ✓ GET  /api/sessions/all  · 5 ms
10:49:41  200 ✓ GET  /api/stats  · 7 ms
10:49:41  200 ✓ GET  /api/sessions  · 3 ms
10:49:41  200 ✓ GET  /api/groups  · 6 ms
10:49:41  200 ✓ GET  /api/admin-actions  · 4 ms
10:49:41  200 ✓ GET  /api/accounts  · 3 ms
10:49:45  200 ✓ GET  /api/logs  · 3 ms
10:49:47  200 ✓ GET  /api/accounts  · 4 ms
10:49:48  200 ✓ GET  /api/heartbeat  · 2 ms
10:49:48  200 ✓ GET  /api/accounts/acc_867efdf11ac19e00/detail  · 4 ms
10:49:48  200 ✓ GET  /api/permissions  · 1 ms
10:49:55  200 ✓ GET  /api/permissions  · 3 ms
10:49:55  200 ✓ GET  /api/accounts/acc_867efdf11ac19e00/detail  · 3 ms
10:49:56  200 ✓ GET  /api/heartbeat  · 2 ms
10:50:03  200 ✓ GET  /api/account  · 3 ms
10:50:03  200 ✓ GET  /api/account/sessions  · 2 ms
10:50:04  200 ✓ GET  /api/heartbeat  · 1 ms
10:50:05  200 ✓ GET  /api/accounts  · 5 ms
10:50:05  200 ✓ GET  /api/history  · 6 ms
10:50:07  200 ✓ GET  /api/roles  · 2 ms
10:50:09  200 ✓ GET  /api/system  · 136 ms
10:50:10  200 ✓ GET  /api/roles  · 2 ms
10:50:12  200 ✓ GET  /api/heartbeat  · 1 ms
10:50:18  200 ✓ GET  /api/system  · 129 ms
10:50:20  200 ✓ GET  /api/heartbeat  · 1 ms
10:50:26  200 ✓ GET  /api/stats  · 5 ms
10:50:26  200 ✓ GET  /api/system  · 125 ms
10:50:26  200 ✓ GET  /api/logs  · 3 ms
10:50:28  200 ✓ GET  /api/heartbeat  · 6 ms
10:50:29  200 ✓ GET  /api/stats  · 6 ms
10:50:29  200 ✓ GET  /api/system  · 125 ms
10:50:29  200 ✓ GET  /api/logs  · 4 ms
10:50:32  200 ✓ GET  /api/owners  · 3 ms
10:50:33  200 ✓ GET  /api/badwords  · 3 ms
10:50:34  200 ✓ GET  /api/bans  · 4 ms
10:50:34  200 ✓ GET  /api/database  · 3 ms
10:50:35  200 ✓ GET  /api/bans  · 4 ms
10:50:36  200 ✓ GET  /api/heartbeat  · 1 ms
10:50:44  200 ✓ GET  /api/heartbeat  · 1 ms
10:50:52  200 ✓ GET  /api/heartbeat  · 1 ms
10:51:00  200 ✓ GET  /api/heartbeat  · 1 ms
10:51:08  AUDIT      › 910maxi › user.banned · 4915679687936@s.whatsapp.net → success
10:51:08  200 ✓ POST /api/bans/ban  · 14 ms
10:51:08  200 ✓ GET  /api/bans  · 4 ms
10:51:08  200 ✓ GET  /api/heartbeat  · 2 ms
10:51:10  200 ✓ GET  /api/database  · 4 ms
10:51:14  200 ✓ GET  /api/audit  · 4 ms
10:51:16  200 ✓ GET  /api/maintenance  · 2 ms
10:51:16  200 ✓ GET  /api/security  · 5 ms
10:51:16  200 ✓ GET  /api/security/overview  · 8 ms
10:51:16  200 ✓ GET  /api/security/cases  · 6 ms
10:51:16  200 ✓ GET  /api/sessions/all  · 4 ms
10:51:16  200 ✓ GET  /api/heartbeat  · 2 ms
10:51:16  200 ✓ GET  /api/security  · 7 ms
10:51:16  200 ✓ GET  /api/security/overview  · 4 ms
10:51:16  200 ✓ GET  /api/maintenance
10:51:16  200 ✓ GET  /api/security/cases  · 4 ms
10:51:21  200 ✓ GET  /api/logs  · 3 ms
10:51:24  200 ✓ GET  /api/heartbeat  · 2 ms
10:51:27  200 ✓ GET  /api/logs  · 2 ms
10:51:30  200 ✓ GET  /api/groups  · 4 ms
10:51:32  200 ✓ GET  /api/heartbeat  · 1 ms
10:51:40  200 ✓ GET  /api/heartbeat  · 1 ms
10:51:44  200 ✓ GET  /api/love  · 5 ms
10:51:47  200 ✓ GET  /api/love  · 5 ms
10:51:48  200 ✓ GET  /api/heartbeat  · 2 ms
10:51:52  200 ✓ GET  /api/groups  · 4 ms
10:51:53  200 ✓ GET  /api/users  · 4 ms
10:51:54  200 ✓ GET  /api/groups  · 6 ms
10:51:55  200 ✓ GET  /api/sessions  · 3 ms
10:51:56  200 ✓ GET  /api/heartbeat  · 2 ms
10:51:56  200 ✓ GET  /api/stats  · 6 ms
10:51:56  200 ✓ GET  /api/system  · 124 ms
10:51:57  200 ✓ GET  /api/sessions  · 3 ms
10:51:58  200 ✓ GET  /api/stats  · 4 ms
10:51:58  200 ✓ GET  /api/logs  · 4 ms
10:51:58  200 ✓ GET  /api/sessions  · 4 ms
10:51:59  200 ✓ GET  /api/downloads/list  · 4 ms
10:52:03  200 ✓ POST /api/logout  · 3 ms
10:52:03  200 ✓ GET  /api/heartbeat  · 1 ms
11:09:38  200 ✓ GET  /api/maintenance  · 1 ms
11:09:38  200 ✓ GET  /api/commands  · 3 ms
11:09:38  200 ✓ GET  /api/siteinfo  · 7 ms
11:09:38  200 ✓ GET  /api/statistics  · 9 ms
11:31:25  200 ✓ GET  /api/maintenance  · 1 ms
11:31:25  200 ✓ GET  /api/commands  · 2 ms
11:31:26  200 ✓ GET  /api/siteinfo  · 3 ms
11:31:26  200 ✓ GET  /api/statistics  · 8 ms
11:55:22  200 ✓ GET  /api/maintenance  · 1 ms
11:55:22  200 ✓ GET  /api/commands  · 2 ms
11:55:23  200 ✓ GET  /api/siteinfo  · 4 ms
11:55:23  200 ✓ GET  /api/statistics  · 8 ms
12:10:14  200 ✓ GET  /api/maintenance  · 1 ms
13:53:16  200 ✓ GET  /api/maintenance  · 1 ms
13:53:16  200 ✓ GET  /api/commands  · 2 ms
13:53:17  200 ✓ GET  /api/siteinfo  · 21 ms
13:53:17  200 ✓ GET  /api/statistics  · 8 ms
13:54:46  200 ✓ GET  /api/maintenance  · 2 ms
13:54:49  200 ✓ GET  /api/commands  · 2 ms
13:54:51  200 ✓ GET  /api/siteinfo  · 3 ms
13:56:52  200 ✓ GET  /api/maintenance  · 1 ms
13:56:53  200 ✓ GET  /api/commands  · 2 ms
13:56:53  200 ✓ GET  /api/siteinfo  · 5 ms
13:56:53  200 ✓ GET  /api/statistics  · 5 ms
14:29:33  200 ✓ GET  /api/maintenance  · 2 ms
14:29:34  200 ✓ GET  /api/commands  · 2 ms
14:29:35  200 ✓ GET  /api/siteinfo  · 5 ms
14:29:36  200 ✓ GET  /api/statistics  · 8 ms
14:29:48  200 ✓ GET  /api/maintenance  · 2 ms
14:29:50  200 ✓ GET  /api/commands  · 1 ms
14:29:51  200 ✓ GET  /api/siteinfo  · 4 ms
14:29:51  200 ✓ GET  /api/statistics  · 5 ms
14:54:39  200 ✓ GET  /api/maintenance  · 2 ms
14:54:40  200 ✓ GET  /api/commands  · 2 ms
14:54:40  200 ✓ GET  /api/siteinfo  · 4 ms
14:54:40  200 ✓ GET  /api/statistics  · 7 ms
15:13:37  403 ✕ GET  /api/health  · 4 ms
16:28:11  403 ✕ GET  /api/health  · 5 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 22:56:59       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

22:56:59  BOOT       › Dashboard-Webserver gestartet (Port 7777).
23:02:05  200 ✓ GET  /api/maintenance  · 13 ms
23:02:06  200 ✓ GET  /api/commands  · 3 ms
23:02:06  200 ✓ GET  /api/notifications  · 6 ms
23:02:06  200 ✓ GET  /api/siteinfo  · 19 ms
23:02:06  200 ✓ GET  /api/statistics  · 21 ms
23:02:13  200 ✓ GET  /api/heartbeat  · 2 ms
23:02:13  200 ✓ GET  /api/notifications  · 13 ms
23:02:13  200 ✓ GET  /api/me  · 4 ms
23:02:13  200 ✓ GET  /api/maintenance  · 3 ms
23:02:14  200 ✓ GET  /api/heartbeat  · 18 ms
23:02:14  200 ✓ GET  /api/me  · 6 ms
23:02:14  200 ✓ GET  /api/me  · 6 ms
23:02:14  200 ✓ GET  /api/stats  · 9 ms
23:02:14  200 ✓ GET  /api/logs  · 4 ms
23:02:14  200 ✓ GET  /api/sessions  · 9 ms
23:02:16  200 ✓ GET  /api/stats  · 7 ms
23:02:16  200 ✓ GET  /api/system  · 135 ms
23:02:18  200 ✓ GET  /api/sessions  · 4 ms
23:02:22  200 ✓ GET  /api/heartbeat  · 2 ms
23:02:23  401 ✕ GET  /api/sessions/all  · 5 ms
23:02:27  200 ✓ GET  /api/audit  · 4 ms
23:02:28  401 ✕ GET  /api/sessions/all  · 3 ms
23:02:30  200 ✓ GET  /api/heartbeat  · 3 ms
23:02:32  STEP_UP_REAUTH_FAILED      910maxi                  risk 35
23:02:32  ADMIN      › 910maxi › reauth.failed · reauth.verify
23:02:32  401 ✕ POST /api/reauth/verify  · 9 ms
23:02:38  200 ✓ GET  /api/heartbeat  · 2 ms
23:02:38  STEP_UP_REAUTH_OK          910maxi                  risk 5
23:02:38  ADMIN      › 910maxi › reauth.ok · reauth.verify
23:02:38  200 ✓ POST /api/reauth/verify  · 8 ms
23:02:38  200 ✓ GET  /api/sessions/all  · 4 ms
23:02:46  200 ✓ GET  /api/heartbeat  · 2 ms
23:02:54  200 ✓ GET  /api/heartbeat  · 2 ms
23:03:02  200 ✓ GET  /api/heartbeat  · 3 ms
23:03:10  200 ✓ GET  /api/heartbeat  · 2 ms
23:03:18  200 ✓ GET  /api/heartbeat  · 2 ms
23:03:26  200 ✓ GET  /api/heartbeat  · 2 ms
23:03:34  200 ✓ GET  /api/heartbeat  · 1 ms
23:03:42  200 ✓ GET  /api/heartbeat  · 2 ms
23:03:50  200 ✓ GET  /api/heartbeat  · 2 ms
23:03:58  200 ✓ GET  /api/heartbeat  · 2 ms
23:04:06  200 ✓ GET  /api/heartbeat  · 2 ms
23:04:14  200 ✓ GET  /api/heartbeat  · 3 ms
23:04:22  200 ✓ GET  /api/heartbeat  · 2 ms
23:04:30  200 ✓ GET  /api/heartbeat  · 1 ms
23:04:38  200 ✓ GET  /api/heartbeat  · 2 ms
23:04:46  200 ✓ GET  /api/heartbeat  · 2 ms
23:04:54  200 ✓ GET  /api/heartbeat  · 2 ms
23:05:02  200 ✓ GET  /api/heartbeat  · 2 ms
23:05:10  200 ✓ GET  /api/heartbeat  · 1 ms
23:05:18  200 ✓ GET  /api/heartbeat  · 11 ms
23:05:26  200 ✓ GET  /api/heartbeat  · 2 ms
23:05:34  200 ✓ GET  /api/heartbeat  · 2 ms
23:05:42  200 ✓ GET  /api/heartbeat  · 2 ms
23:05:50  200 ✓ GET  /api/heartbeat  · 3 ms
23:05:58  200 ✓ GET  /api/heartbeat  · 2 ms
23:06:06  200 ✓ GET  /api/heartbeat  · 2 ms
23:06:14  200 ✓ GET  /api/heartbeat  · 10 ms
23:06:23  200 ✓ GET  /api/heartbeat  · 1 ms
23:06:31  200 ✓ GET  /api/heartbeat  · 2 ms
23:06:39  200 ✓ GET  /api/heartbeat  · 2 ms
23:06:47  200 ✓ GET  /api/heartbeat  · 2 ms
23:06:55  200 ✓ GET  /api/heartbeat  · 1 ms
23:07:03  200 ✓ GET  /api/heartbeat  · 1 ms
23:07:11  200 ✓ GET  /api/heartbeat  · 2 ms
23:07:19  200 ✓ GET  /api/heartbeat  · 2 ms
23:08:15  200 ✓ GET  /api/heartbeat  · 1 ms
23:09:15  200 ✓ GET  /api/heartbeat  · 1 ms
23:10:15  200 ✓ GET  /api/heartbeat  · 2 ms
23:11:15  200 ✓ GET  /api/heartbeat  · 4 ms
23:12:15  200 ✓ GET  /api/heartbeat  · 2 ms
23:13:15  200 ✓ GET  /api/heartbeat  · 2 ms
23:14:15  200 ✓ GET  /api/heartbeat  · 2 ms
23:15:15  200 ✓ GET  /api/heartbeat  · 1 ms
23:16:15  200 ✓ GET  /api/heartbeat  · 2 ms
23:17:15  200 ✓ GET  /api/heartbeat  · 3 ms
23:18:15  200 ✓ GET  /api/heartbeat  · 1 ms
23:19:15  200 ✓ GET  /api/heartbeat  · 2 ms
23:20:15  200 ✓ GET  /api/heartbeat  · 2 ms
23:21:15  200 ✓ GET  /api/heartbeat  · 3 ms
23:26:54  200 ✓ GET  /api/heartbeat  · 3 ms
23:27:02  200 ✓ GET  /api/heartbeat  · 2 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 23:34:39       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

23:34:39  BOOT       › Dashboard-Webserver gestartet (Port 7777).

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 23:35:31       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

23:35:31  BOOT       › Dashboard-Webserver gestartet (Port 7777).
23:36:41  200 ✓ GET  /api/maintenance  · 23 ms
23:36:42  200 ✓ GET  /api/commands  · 3 ms
23:36:42  200 ✓ GET  /api/siteinfo  · 7 ms
23:36:42  200 ✓ GET  /api/statistics  · 155 ms
23:36:47  200 ✓ GET  /api/maintenance  · 8 ms
23:36:47  200 ✓ GET  /api/siteinfo  · 8 ms
23:36:48  200 ✓ GET  /api/commands  · 4 ms
23:36:54  200 ✓ GET  /api/siteinfo  · 5 ms
23:36:59  200 ✓ GET  /api/siteinfo  · 13 ms
23:37:04  200 ✓ GET  /api/siteinfo  · 5 ms
23:37:09  200 ✓ GET  /api/siteinfo  · 6 ms
23:37:14  200 ✓ GET  /api/siteinfo  · 4 ms
23:37:19  200 ✓ GET  /api/siteinfo  · 4 ms
23:37:24  200 ✓ GET  /api/siteinfo  · 6 ms
23:37:29  200 ✓ GET  /api/siteinfo  · 4 ms
23:37:34  200 ✓ GET  /api/siteinfo  · 8 ms
23:37:39  200 ✓ GET  /api/siteinfo  · 7 ms
23:37:44  200 ✓ GET  /api/siteinfo  · 6 ms
23:37:49  200 ✓ GET  /api/siteinfo  · 6 ms
23:37:54  200 ✓ GET  /api/siteinfo  · 5 ms
23:37:59  200 ✓ GET  /api/siteinfo  · 15 ms
23:38:04  200 ✓ GET  /api/siteinfo  · 8 ms
23:38:15  200 ✓ GET  /api/siteinfo  · 6 ms
23:39:15  200 ✓ GET  /api/siteinfo  · 4 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 23:39:17       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7778
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

23:39:17  BOOT       › Dashboard-Webserver gestartet (Port 7778).

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 23:39:44       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

23:39:44  BOOT       › Dashboard-Webserver gestartet (Port 7777).
23:40:15  200 ✓ GET  /api/siteinfo  · 15 ms
23:40:22  200 ✓ GET  /api/siteinfo  · 11 ms
23:40:23  200 ✓ GET  /api/siteinfo  · 6 ms
23:40:24  200 ✓ GET  /api/maintenance  · 2 ms
23:40:25  200 ✓ GET  /api/siteinfo  · 55 ms
23:40:25  200 ✓ GET  /api/commands  · 6 ms
23:40:27  200 ✓ GET  /api/maintenance  · 2 ms
23:40:28  200 ✓ GET  /api/commands  · 2 ms
23:40:28  200 ✓ GET  /api/siteinfo  · 11 ms
23:40:28  200 ✓ GET  /api/statistics  · 16 ms
23:40:30  200 ✓ GET  /api/maintenance  · 2 ms
23:40:30  200 ✓ GET  /api/siteinfo  · 16 ms
23:40:32  200 ✓ GET  /api/maintenance  · 2 ms
23:40:32  200 ✓ GET  /api/commands  · 3 ms
23:40:32  200 ✓ GET  /api/siteinfo  · 17 ms
23:40:34  200 ✓ GET  /api/maintenance  · 2 ms
23:40:34  200 ✓ GET  /api/siteinfo  · 18 ms
23:40:34  200 ✓ GET  /api/commands  · 3 ms
23:40:36  ABUSE_BURST_DETECTED       193.111.249.189          risk 35
23:40:37  200 ✓ GET  /api/maintenance  · 1 ms
23:40:37  200 ✓ GET  /api/statistics  · 7 ms
23:40:37  200 ✓ GET  /api/siteinfo  · 17 ms
23:40:39  200 ✓ GET  /api/maintenance  · 2 ms
23:40:40  200 ✓ GET  /api/siteinfo  · 5 ms
23:40:40  200 ✓ GET  /api/commands  · 3 ms
23:40:41  200 ✓ GET  /api/maintenance  · 3 ms
23:40:41  200 ✓ GET  /api/leaderboard  · 65 ms
23:40:41  200 ✓ GET  /api/siteinfo  · 6 ms
23:41:02  200 ✓ GET  /api/leaderboard  · 53 ms
23:41:22  200 ✓ GET  /api/leaderboard  · 46 ms
23:41:42  200 ✓ GET  /api/leaderboard  · 28 ms
23:42:02  200 ✓ GET  /api/leaderboard  · 31 ms
23:42:22  200 ✓ GET  /api/leaderboard  · 62 ms
23:42:42  200 ✓ GET  /api/leaderboard  · 32 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 23:42:59       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

23:42:59  BOOT       › Dashboard-Webserver gestartet (Port 7777).
23:43:01  200 ✓ GET  /api/leaderboard  · 49 ms
23:43:03  200 ✓ GET  /api/maintenance  · 2 ms
23:43:03  200 ✓ GET  /api/leaderboard  · 52 ms
23:43:03  200 ✓ GET  /api/siteinfo  · 11 ms
23:43:23  200 ✓ GET  /api/leaderboard  · 36 ms
23:43:44  200 ✓ GET  /api/leaderboard  · 33 ms
23:44:04  200 ✓ GET  /api/leaderboard  · 31 ms
23:44:24  200 ✓ GET  /api/leaderboard  · 30 ms
23:44:44  200 ✓ GET  /api/leaderboard  · 31 ms
23:45:04  200 ✓ GET  /api/leaderboard  · 33 ms
23:45:24  200 ✓ GET  /api/leaderboard  · 32 ms
23:46:15  200 ✓ GET  /api/leaderboard  · 34 ms
23:47:15  200 ✓ GET  /api/leaderboard  · 24 ms

  ╭──────────────────────────────────────────────────────╮
  │               ☾  L O V E B O T  ·  W E B│
  │                        midnight control│
  ├──────────────────────────────────────────────────────┤
  │   💜  11.9.2026, 23:47:37       │
  │   node v26.8.2 · win32 · dashboard│
  ╰──────────────────────────────────────────────────────╯

  🌐  http://localhost:7777
  🔐  Login: erst WhatsApp-Code (2FA), dann Passwort · Gate: Admin-Passwort (getrennt)
  👑  Owner: 4915155894714  ·  Panel-Accounts: 4  ·  Sessions live: 1/1
  📋  Jede API-/Audit-/Security-Aktion wird hier & nach Logs/server.log geschrieben.

23:47:37  BOOT       › Dashboard-Webserver gestartet (Port 7777).
23:48:15  200 ✓ GET  /api/leaderboard  · 32 ms
23:49:15  200 ✓ GET  /api/leaderboard  · 27 ms
23:50:15  200 ✓ GET  /api/leaderboard  · 29 ms
23:51:15  200 ✓ GET  /api/leaderboard  · 25 ms
23:52:15  200 ✓ GET  /api/leaderboard  · 26 ms
23:53:15  200 ✓ GET  /api/leaderboard  · 27 ms
23:54:15  200 ✓ GET  /api/leaderboard  · 20 ms
23:55:15  200 ✓ GET  /api/leaderboard  · 27 ms
23:56:15  200 ✓ GET  /api/leaderboard  · 25 ms
23:57:15  200 ✓ GET  /api/leaderboard  · 22 ms
23:58:15  200 ✓ GET  /api/leaderboard  · 27 ms
02:41:11  200 ✓ GET  /api/maintenance  · 2 ms
02:41:12  200 ✓ GET  /api/siteinfo  · 7 ms
04:23:39  ABUSE_BURST_DETECTED       127.0.0.1                risk 35
04:24:44  401 ✕ POST /api/auth/signin  · 2 ms
04:24:45  401 ✕ POST /api/auth/signin  · 2 ms
04:24:45  401 ✕ POST /api/auth/signin  · 2 ms
04:24:46  401 ✕ POST /api/auth/signin  · 2 ms
04:24:46  401 ✕ POST /api/auth/signin  · 2 ms
04:24:46  401 ✕ POST /api/auth/signin  · 2 ms
04:24:49  401 ✕ POST /api/auth/signin  · 2 ms
04:24:49  401 ✕ POST /api/auth/signin  · 2 ms
04:24:51  401 ✕ POST /api/auth/signin  · 1 ms
04:24:51  401 ✕ POST /api/auth/signin  · 4 ms
04:24:51  401 ✕ POST /api/auth/signin  · 2 ms
04:24:52  401 ✕ POST /api/auth/signin  · 2 ms
04:25:50  ABUSE_BURST_DETECTED       127.0.0.1                risk 45
